code,start,end,n_hours,max_slope,min_slope,avg_level
157B025010025,2025-07-15 08:00:00,2025-07-16 04:00:00,20,0.6059999999999999,-0.5919999999999987,12.363150000000001
157B025010025,2025-07-16 05:00:00,2025-07-17 20:00:00,40,1.0510000000000002,-0.37900000000000134,11.294974999999999
157B025010025,2025-07-17 21:00:00,2025-07-20 04:00:00,55,0.6370000000000005,-0.41300000000000026,10.19821818181818
157B025010025,2025-07-20 05:00:00,2025-07-20 23:00:00,18,0.27500000000000036,-0.4559999999999995,9.067944444444443
157B025010028,2025-06-15 00:00:00,2025-06-17 08:00:00,55,0.7729999999999997,-1.040000000000001,13.11536363636364
157B025010028,2025-06-17 09:00:00,2025-06-17 13:00:00,5,-0.06899999999999906,-1.0709999999999997,10.32
157B025010028,2025-06-17 14:00:00,2025-06-17 23:00:00,10,0.125,-0.5899999999999999,7.839700000000001
157B025010028,2025-06-18 00:00:00,2025-06-21 02:00:00,65,0.3860000000000001,-0.5430000000000001,6.539923076923077
157B025010028,2025-06-21 03:00:00,2025-06-21 12:00:00,10,0.6999999999999993,-0.33999999999999986,8.757600000000002
157B025010028,2025-06-21 13:00:00,2025-06-21 22:00:00,10,1.0490000000000013,-0.11100000000000065,12.053799999999999
157B025010028,2025-06-21 23:00:00,2025-06-23 00:00:00,25,0.6230000000000011,-0.20400000000000063,14.089080000000001
157B025010028,2025-06-23 01:00:00,2025-06-24 02:00:00,25,0.6539999999999999,-0.6560000000000006,15.390640000000001
157B025010028,2025-06-24 03:00:00,2025-06-25 13:00:00,35,0.5190000000000001,-0.3329999999999984,13.882885714285717
157B025010028,2025-06-25 14:00:00,2025-06-28 01:00:00,60,1.0420000000000016,-0.9759999999999991,14.529566666666664
157B025010028,2025-06-28 02:00:00,2025-07-01 07:00:00,75,0.8390000000000004,-0.8030000000000008,14.11994666666667
157B025010028,2025-07-01 08:00:00,2025-07-01 12:00:00,5,-0.16300000000000026,-2.1500000000000004,10.9936
157B025010028,2025-07-01 14:00:00,2025-07-01 18:00:00,5,-0.0940000000000012,-0.43099999999999916,8.4402
157B025010028,2025-07-01 19:00:00,2025-07-03 08:00:00,30,0.42300000000000004,-0.5999999999999996,6.9392
157B025010028,2025-07-03 09:00:00,2025-07-04 04:00:00,20,0.5060000000000002,-0.6430000000000007,5.471250000000001
157B025010028,2025-07-04 05:00:00,2025-07-04 20:00:00,15,0.31400000000000006,-1.1930000000000005,3.1574666666666666
157B025010028,2025-07-04 21:00:00,2025-07-05 01:00:00,5,4.872999999999999,-0.2270000000000003,5.058
157B025010028,2025-07-05 02:00:00,2025-07-09 03:00:00,15,0.3330000000000002,-0.9770000000000003,6.611866666666667
157B025010028,2025-07-09 05:00:00,2025-07-10 00:00:00,20,7.9239999999999995,-2.5280000000000005,7.597800000000001
157B025010028,2025-07-10 01:00:00,2025-07-14 04:00:00,100,0.7360000000000007,-1.3330000000000002,12.388889999999998
157B025010028,2025-07-14 05:00:00,2025-07-15 21:00:00,40,0.9800000000000004,-0.8869999999999987,14.322475
157B025010028,2025-07-15 22:00:00,2025-07-18 05:00:00,55,1.0380000000000003,-0.7800000000000011,13.807254545454546
157B025010028,2025-07-18 06:00:00,2025-07-20 03:00:00,45,0.5,-0.6560000000000006,12.578800000000003
157B025010028,2025-07-20 04:00:00,2025-07-20 23:00:00,19,0.2370000000000001,-0.3130000000000006,11.44121052631579
157B025010050,2025-06-15 00:00:00,2025-06-16 02:00:00,25,0.2969999999999997,-0.18599999999999994,7.1622
157B025010050,2025-06-16 03:00:00,2025-06-21 03:00:00,95,1.7779999999999987,-0.4690000000000012,10.311568421052632
157B025010050,2025-06-21 04:00:00,2025-06-21 13:00:00,10,0.7230000000000008,-0.20599999999999952,12.130100000000002
157B025010050,2025-06-21 14:00:00,2025-06-25 01:00:00,80,1.943999999999999,-1.3659999999999979,15.975737499999997
157B025010050,2025-06-25 02:00:00,2025-06-27 05:00:00,50,0.5190000000000001,-0.5220000000000002,14.08082
157B025010050,2025-06-27 06:00:00,2025-06-28 07:00:00,25,0.7400000000000002,-0.5009999999999994,16.04492
157B025010050,2025-06-28 08:00:00,2025-07-01 08:00:00,70,0.7230000000000008,-0.48300000000000054,15.447128571428575
157B025010050,2025-07-01 09:00:00,2025-07-04 03:00:00,50,0.6199999999999992,-0.4120000000000008,14.30236
157B025010050,2025-07-04 04:00:00,2025-07-04 23:00:00,20,0.20699999999999896,-0.3730000000000011,13.427200000000003
157B025010050,2025-07-05 00:00:00,2025-07-07 10:00:00,55,2.5180000000000007,-0.6000000000000014,18.16736363636364
157B025010050,2025-07-07 11:00:00,2025-07-07 15:00:00,5,-0.09299999999999997,-1.5510000000000002,12.979800000000001
157B025010050,2025-07-07 16:00:00,2025-07-08 01:00:00,10,1.3339999999999996,-0.7750000000000004,9.283600000000002
157B025010050,2025-07-08 02:00:00,2025-07-08 06:00:00,5,0.2599999999999998,-0.11099999999999888,11.561800000000002
157B025010050,2025-07-08 07:00:00,2025-07-08 11:00:00,5,0.10200000000000031,-1.483999999999999,10.0426
157B025010050,2025-07-08 12:00:00,2025-07-08 16:00:00,5,0.030999999999999694,-0.4509999999999996,5.4992
157B025010050,2025-07-08 17:00:00,2025-07-09 02:00:00,10,0.6200000000000001,-1.045,4.1324
157B025010050,2025-07-09 03:00:00,2025-07-12 18:00:00,85,0.8380000000000001,0.0,2.311788235294118
157B025010050,2025-07-12 19:00:00,2025-07-12 23:00:00,5,21.233,-0.20899999999999963,11.1554
