code,algo_start,algo_end,manual_start,manual_end,level_start_mm,level_at_12h_mm,delta_12h_mm,duration_hours,drain_rate_mm_per_hour
157B025030032,2025-09-09 03:00:00,2025-09-09 09:00:00,2025-09-09 03:00:00,2025-09-09 15:00:00,7.136,4.388,-2.748,6.0,0.229
157B025030032,2025-09-11 18:00:00,2025-09-12 06:00:00,2025-09-12 04:00:00,2025-09-12 23:00:00,25.456,15.9,-9.556,12.0,0.7963333333333332
157B025030032,2025-09-12 08:00:00,2025-09-12 16:00:00,2025-09-12 04:00:00,2025-09-12 23:00:00,15.538,9.231,-6.307,8.0,0.5255833333333334
157B025030032,2025-09-13 04:00:00,2025-09-13 11:00:00,2025-09-13 03:00:00,2025-09-13 21:00:00,7.173,2.4,-4.773,7.0,0.39775
157B025030029,2025-06-16 06:00:00,2025-06-16 10:00:00,2025-06-16 05:00:00,2025-06-17 06:00:00,4.353,1.293,-3.06,4.0,0.255
157B025030029,2025-06-21 08:00:00,2025-06-21 11:00:00,2025-06-21 05:00:00,2025-06-22 01:00:00,4.975,1.162,-3.813,3.0,0.31775000000000003
157B025030029,2025-09-03 21:00:00,2025-09-04 06:00:00,2025-09-03 17:00:00,2025-09-04 08:00:00,13.447,0.8,-12.646999999999998,9.0,1.0539166666666666
157B025030033,2025-06-22 23:00:00,2025-06-23 04:00:00,2025-06-22 22:00:00,2025-06-23 15:00:00,14.12,11.513,-2.6069999999999998,5.0,0.21724999999999997
157B025030033,2025-07-07 08:00:00,2025-07-07 20:00:00,2025-07-07 08:00:00,2025-07-08 08:00:00,11.094,2.738,-8.356,12.0,0.6963333333333334
157B025030033,2025-07-26 13:00:00,2025-07-26 17:00:00,2025-07-26 13:00:00,2025-07-26 20:00:00,7.6,4.15,-3.4499999999999997,4.0,0.2875
157B025030033,2025-09-07 08:00:00,2025-09-07 13:00:00,2025-09-07 07:00:00,2025-09-08 02:00:00,8.708,4.66,-4.048,5.0,0.3373333333333333
157B025030005,2025-06-22 01:00:00,2025-06-22 07:00:00,2025-06-22 01:00:00,2025-06-22 11:00:00,14.2,7.34,-6.859999999999999,6.0,0.5716666666666667
157B025030005,2025-08-29 10:00:00,2025-08-29 14:00:00,2025-08-29 10:00:00,2025-08-29 22:00:00,13.647,10.8,-2.8469999999999995,4.0,0.23724999999999996
157B025030005,2025-09-08 22:00:00,2025-09-09 02:00:00,2025-09-08 19:00:00,2025-09-09 06:00:00,11.0,4.131,-6.869,4.0,0.5724166666666667
157B025010028,2025-06-17 06:00:00,2025-06-17 14:00:00,2025-06-17 03:00:00,2025-06-18 00:00:00,12.925,7.756,-5.1690000000000005,8.0,0.43075
157B025010028,2025-07-01 07:00:00,2025-07-01 17:00:00,2025-07-01 05:00:00,2025-07-01 19:00:00,13.267,7.553,-5.714,10.0,0.4761666666666667
157B025010028,2025-07-09 09:00:00,2025-07-09 12:00:00,2025-07-09 08:00:00,2025-07-09 17:00:00,10.835,6.316,-4.519000000000001,3.0,0.37658333333333344
157B025010028,2025-07-21 06:00:00,2025-07-21 11:00:00,2025-07-21 05:00:00,2025-07-21 12:00:00,10.769,7.687,-3.082,5.0,0.2568333333333333
157B025010028,2025-08-17 08:00:00,2025-08-17 12:00:00,2025-08-17 08:00:00,2025-08-17 17:00:00,20.433,16.394,-4.0390000000000015,4.0,0.33658333333333346
157B025030087,2025-06-18 09:00:00,2025-06-18 14:00:00,2025-06-18 09:00:00,2025-06-18 18:00:00,8.344,1.081,-7.263,5.0,0.60525
157B025030087,2025-06-21 15:00:00,2025-06-21 21:00:00,2025-06-21 15:00:00,2025-06-22 05:00:00,10.231,4.367,-5.864,6.0,0.48866666666666664
157B025030087,2025-06-23 11:00:00,2025-06-23 16:00:00,2025-06-23 11:00:00,2025-06-24 05:00:00,5.34,1.787,-3.553,5.0,0.2960833333333333
157B025030087,2025-07-06 11:00:00,2025-07-06 16:00:00,2025-07-06 07:00:00,2025-07-07 03:00:00,12.012,4.831,-7.181,5.0,0.5984166666666667
157B025030087,2025-07-06 20:00:00,2025-07-07 00:00:00,2025-07-06 07:00:00,2025-07-07 03:00:00,8.8,1.859,-6.941000000000001,4.0,0.5784166666666667
157B025030087,2025-07-08 14:00:00,2025-07-08 18:00:00,2025-07-08 08:00:00,2025-07-08 23:00:00,6.72,3.694,-3.026,4.0,0.25216666666666665
157B025030087,2025-07-11 10:00:00,2025-07-11 12:00:00,2025-07-11 09:00:00,2025-07-12 05:00:00,12.14,4.7,-7.44,2.0,0.62
157B025030087,2025-07-11 14:00:00,2025-07-12 05:00:00,2025-07-11 09:00:00,2025-07-12 05:00:00,10.481,1.844,-8.637,15.0,0.71975
157B025030087,2025-07-17 10:00:00,2025-07-18 00:00:00,2025-07-17 04:00:00,2025-07-18 00:00:00,11.468,5.7,-5.768,14.0,0.48066666666666663
157B025030087,2025-07-19 07:00:00,2025-07-19 19:00:00,2025-07-19 01:00:00,2025-07-19 19:00:00,13.46,2.833,-10.627,12.0,0.8855833333333334
157B025030087,2025-08-11 08:00:00,2025-08-11 19:00:00,2025-08-11 07:00:00,2025-08-11 19:00:00,12.9,6.856,-6.0440000000000005,11.0,0.5036666666666667
157B025030087,2025-08-13 13:00:00,2025-08-13 19:00:00,2025-08-13 12:00:00,2025-08-14 01:00:00,13.3,10.25,-3.0500000000000007,6.0,0.2541666666666667
157B025030087,2025-08-20 10:00:00,2025-08-21 02:00:00,2025-08-20 08:00:00,2025-08-21 07:00:00,12.083,7.287,-4.796,16.0,0.39966666666666667
157B025030087,2025-08-30 14:00:00,2025-08-30 21:00:00,2025-08-30 12:00:00,2025-08-31 05:00:00,9.476,6.3,-3.176000000000001,7.0,0.26466666666666677
157B025030087,2025-09-12 05:00:00,2025-09-12 09:00:00,2025-09-12 04:00:00,2025-09-12 15:00:00,2.831,0.075,-2.756,4.0,0.22966666666666666
157B025010025,2025-06-30 18:00:00,2025-06-30 23:00:00,2025-06-30 05:00:00,2025-06-30 23:00:00,8.912,6.162,-2.750000000000001,5.0,0.22916666666666674
157B025010025,2025-07-28 08:00:00,2025-07-28 13:00:00,2025-07-28 00:00:00,2025-07-28 23:00:00,15.813,11.48,-4.333,5.0,0.36108333333333337
157B025030009,2025-06-28 10:00:00,2025-06-28 16:00:00,2025-06-28 06:00:00,2025-06-28 22:00:00,12.447,6.64,-5.807,6.0,0.4839166666666667
157B025030009,2025-07-22 06:00:00,2025-07-22 08:00:00,2025-07-22 04:00:00,2025-07-22 16:00:00,17.1,0.819,-16.281000000000002,2.0,1.3567500000000001
157B025030009,2025-07-22 10:00:00,2025-07-22 14:00:00,2025-07-22 04:00:00,2025-07-22 16:00:00,17.212,1.169,-16.043,4.0,1.3369166666666665
157B025030009,2025-07-29 10:00:00,2025-07-29 23:00:00,2025-07-29 06:00:00,2025-07-30 01:00:00,13.25,7.6,-5.65,13.0,0.4708333333333334
157B025030009,2025-09-09 01:00:00,2025-09-09 10:00:00,2025-09-08 17:00:00,2025-09-09 12:00:00,11.6,6.406,-5.194,9.0,0.43283333333333335
157B025030026,2025-06-16 09:00:00,2025-06-16 16:00:00,2025-06-16 10:00:00,2025-06-17 06:00:00,5.387,0.277,-5.109999999999999,7.0,0.4258333333333333
157B025030026,2025-07-08 22:00:00,2025-07-09 03:00:00,2025-07-08 19:00:00,2025-07-09 14:00:00,6.45,0.962,-5.488,5.0,0.45733333333333337
157B025030026,2025-07-09 05:00:00,2025-07-09 09:00:00,2025-07-08 19:00:00,2025-07-09 14:00:00,3.344,0.84,-2.504,4.0,0.20866666666666667
